epoch,loss,test_acc,SA1_max,SA1_min,SA2_max,SA2_min,SB_max,SB_min
1,1.970399645805359,32.08,1.0065408e-16,0.025384845,1.2311422e-17,0.054377716,3.3059482e-16,0.16146976
1,1.940137885093689,35.1,1.9092712e-16,0.011932293,4.2572253e-15,0.11101653,4.5159883e-17,0.17760202
2,1.857492769877116,34.05,2.1461431e-30,0.018803146,1.7717663e-19,0.15319419,2.1515652e-28,0.31743518
3,1.8272106817563374,35.87,5.272987e-39,0.022301883,6.991101e-28,0.17185137,1.72249e-40,0.4396728
4,1.8019119335810343,37.43,7.724e-42,0.016292945,2.1088486e-37,0.2098472,1.064e-42,0.5235862
5,1.7838642242749532,37.05,7.97e-43,0.017620815,5.6862e-41,0.22565784,1.61e-43,0.6281257
6,1.767294391155243,38.07,3.92e-43,0.036308438,1.0681522e-38,0.24779391,7.97e-43,0.7290011
7,1.7619219884872437,37.88,5.23e-43,0.007836182,1.4198e-41,0.25264573,1.131e-42,0.75866055
8,1.7513220388094584,38.65,2.48e-42,0.014373058,2.096e-42,0.27212822,5.55e-43,0.8342296
9,1.7410076926549276,39.91,2.48e-42,0.010096,5.3843e-41,0.27768633,5.55e-43,0.88156986
10,1.7368678282101948,38.57,1.77e-42,0.020770734,1.127e-42,0.28382462,3.94e-43,0.85102177
11,1.7327851015726725,40.12,1.191e-42,0.0038452465,2.5588e-41,0.30052996,2.75e-43,0.8806625
12,1.7253315129280091,39.88,1.78e-42,0.02287252,1.31005e-40,0.31232175,2.75e-43,0.915703
13,1.7184486428896586,40.28,1.302e-42,0.01186323,2.12e-43,0.30647352,2.75e-43,0.9576056
14,1.716074123541514,40.08,2.664e-42,0.017349657,2.1584e-41,0.3114852,2.75e-43,1.0134112
15,1.7117589416503907,39.25,3.67e-43,0.013713115,5.013543e-39,0.31435227,2.1e-43,1.0415496
16,1.7044256029129028,39.49,3.747e-42,0.01658573,7.485923e-37,0.31998622,7.23e-43,1.0187691
17,1.702826987584432,39.51,6.42e-43,0.011547462,1.6848898e-37,0.3233252,0.0,1.0619816
18,1.703153747876485,39.31,9.1e-44,0.012896971,5.173168e-37,0.3397056,9.92e-43,1.0641545
19,1.700688490708669,39.51,1.628e-42,0.015891014,1.4737145e-34,0.34654757,1.047e-42,1.0763202
20,1.6974150768915812,40.59,1.628e-42,0.008315917,4.35035e-40,0.35895428,2.279e-42,1.1058141
21,1.692144641717275,40.68,1.18e-43,0.014747477,2.034e-41,0.37366387,1.195e-42,1.1591269
